Tipo,Producto,Fecha de inicio,Fecha de finalización,Descripción,Importe,Comisión,Divisa,State,Saldo
Pago con tarjeta,Actual,2026-02-01 18:23:06,2026-02-02 03:44:03,UNIQLO,-39.90,0.00,EUR,COMPLETADO,36.30
Pago con tarjeta,Actual,2026-02-01 12:14:28,2026-02-02 03:52:10,San José De Valderas,-27.95,0.00,EUR,COMPLETADO,8.35
Reembolso de tarjeta,Actual,2026-02-01 12:18:30,2026-02-03 04:01:33,San José De Valderas,27.95,0.00,EUR,COMPLETADO,36.30
Reembolso de tarjeta,Actual,2026-02-01 11:56:46,2026-02-03 04:01:33,San José De Valderas,20.00,0.00,EUR,COMPLETADO,56.30
Cambio,Actual,2026-02-03 07:11:47,2026-02-03 07:11:47,Transfer to Revolut Digital Assets Europe Ltd,-1.00,0.00,EUR,COMPLETADO,55.30
Cambio,Actual,2026-02-03 21:36:00,2026-02-03 21:36:00,Transfer to Revolut Digital Assets Europe Ltd,-1.72,0.00,EUR,COMPLETADO,53.58
Pago con tarjeta,Actual,2026-02-03 07:11:46,2026-02-04 07:35:45,Delikia,-0.75,0.00,EUR,COMPLETADO,52.83
Cambio,Actual,2026-02-05 13:56:12,2026-02-05 13:56:12,Transfer to Revolut Digital Assets Europe Ltd,-1.36,0.00,EUR,COMPLETADO,51.47
Pago con tarjeta,Actual,2026-02-03 21:36:00,2026-02-05 15:30:40,Cursor,-20.57,0.00,EUR,COMPLETADO,30.90
Pago con tarjeta,Actual,2026-02-05 13:56:12,2026-02-06 14:37:00,Cursor,-0.66,0.00,EUR,COMPLETADO,30.24
Cambio,Actual,2026-02-08 10:15:45,2026-02-08 10:15:45,Transfer to Revolut Digital Assets Europe Ltd,-0.20,0.00,EUR,COMPLETADO,30.04
Pago con tarjeta,Actual,2026-02-08 10:15:45,2026-02-09 10:22:37,Uber,-16.45,0.00,EUR,COMPLETADO,13.59
Recargas,Actual,2026-02-11 07:46:49,2026-02-11 07:46:50,Una recarga de Apple Pay con *8082,100.00,0.00,EUR,COMPLETADO,113.59
Cambio,Actual,2026-02-11 07:47:35,2026-02-11 07:47:35,Transfer to Revolut Digital Assets Europe Ltd,-0.20,0.00,EUR,COMPLETADO,113.39
Cambio,Actual,2026-02-11 10:04:57,2026-02-11 10:04:57,Transfer to Revolut Digital Assets Europe Ltd,-0.28,0.00,EUR,COMPLETADO,113.11
Pago con tarjeta,Actual,2026-02-11 07:47:35,2026-02-12 13:32:14,Uber,-13.95,0.00,EUR,COMPLETADO,99.16
Pago con tarjeta,Actual,2026-02-11 10:04:57,2026-02-12 13:42:58,Uber,-12.25,0.00,EUR,COMPLETADO,86.91
